ID_del_Vehículo,Marca,Modelo,Año,Región,Tipo_de_Vehículo,Capacidad_de_Batería_kWh,Salud_de_Batería_%,Autonomía_km,Potencia_de_Carga_kW,Tiempo_de_Carga_hr,Ciclos_de_Carga,Consumo_de_Energía_por_100km_recorridos,Kilometraje_km,Velocidad_Promedio_kmh,Velocidad_Máxima_kmh,Aceleración_0_100_kmh_seg,Temperatura_°C,Tipo_de_Uso,CO2_Ahorrado_tons,Costo_de_Mantenimiento_USD_por_año,Costo_de_Seguro_USD_por_año,Costo_de_Electricidad_en_USD_por_kWh,Costo_Mensual_de_Carga_USD,Valor_de_Reventa_USD
22.0,Nissan,Ariya,2016.0,Asia,Sedán,38.5,87.3,156.0,122.3,0.38,1348.0,22.91,126249.5,32.1,181.0,3.75,5.2,Comercial,27.95,1202.0,943.0,0.17,755.89,13761.0
23.0,BMW,i4,2022.0,Norteamérica,Camioneta,99.3,85.2,520.0,31.4,4.44,1083.0,17.35,216810.0,66.2,181.0,4.36,38.5,Flota,26.02,1329.0,2193.0,0.09,282.12,26823.0
24.0,Audi,e-tron,2022.0,Asia,SUV,54.4,85.2,226.0,17.1,3.38,990.0,17.57,105235.0,58.6,187.0,9.45,12.1,Personal,12.63,1319.0,2161.0,0.22,169.49,19443.0
25.0,BMW,iX,2023.0,Norteamérica,Camioneta,89.4,78.4,528.0,127.0,0.57,989.0,21.49,209738.0,66.2,145.0,4.53,-4.0,Comercial,25.17,1508.0,2497.0,0.1,375.61,24039.0
26.0,Nissan,Desconocido,2015.0,Asia,SUV,58.0,99.4,252.0,15.1,4.31,540.0,18.16,198824.0,62.5,230.0,6.09,20.8,Personal,23.86,1323.0,1301.0,0.15,451.33,15573.0
27.0,Mercedes,EQC,2024.0,Norteamérica,Hatchback,86.3,85.1,493.0,168.4,0.69,991.0,24.27,167049.0,31.9,161.0,9.61,18.8,Personal,20.05,889.0,2198.0,0.25,844.64,28123.0
28.0,BMW,i3,2015.0,Australia,SUV,103.0,94.6,540.0,207.1,0.72,1266.0,14.55,113940.0,45.0,175.0,6.705,-5.3,Comercial,13.67,234.0,1226.0,0.22,138.15,26922.0
29.0,Mercedes,EQS,2022.0,Europa,SUV,64.7,90.4,302.0,73.3,1.07,1025.0,21.06,162164.0,95.6,249.0,8.28,30.2,Flota,19.46,960.0,1175.0,0.13,369.98,20993.0
30.0,Volkswagen,ID.4,2023.0,Australia,Hatchback,81.2,87.3,443.0,41.5,2.57,295.0,16.43,143429.0,69.3,141.0,6.29,27.5,Personal,17.21,416.0,1366.0,0.11,216.02,24270.0
31.0,Hyundai,Kona Electric,2015.0,Asia,Sedán,78.1,84.9,373.0,82.1,1.31,1125.0,12.14,209008.0,89.3,138.0,5.58,37.5,Flota,25.08,1607.0,2087.0,0.23,486.33,22157.0
32.0,Hyundai,Kona Electric,2020.0,Norteamérica,Sedán,38.3,88.1,195.0,61.8,0.72,1367.0,22.27,89076.0,95.2,187.0,3.87,17.5,Flota,10.69,1356.0,1686.0,0.32,528.99,16829.0
33.0,Tesla,Model 3,2016.0,Norteamérica,Sedán,117.2,90.6,664.0,218.2,0.59,1397.0,21.11,44081.0,57.8,156.0,8.09,-5.9,Comercial,5.29,1388.0,1945.0,0.35,271.41,26520.0
34.0,Audi,Desconocido,2015.0,Asia,Hatchback,109.2,77.1,635.0,152.5,0.91,1475.0,13.09,208196.0,56.5,168.0,6.26,35.3,Personal,24.98,238.0,1516.0,0.21,476.92,28257.0
35.0,BMW,iX,2016.0,Australia,SUV,72.2,71.7,305.0,39.1,2.14,1224.0,20.85,126249.5,97.4,192.0,6.61,-5.9,Comercial,10.23,1128.0,1433.0,0.2,296.14,20274.0
36.0,Hyundai,Kona Electric,2024.0,Norteamérica,Hatchback,31.1,99.1,127.0,224.0,0.17,402.0,23.95,96362.0,78.7,191.0,6.9,21.5,Comercial,11.56,1749.0,1666.0,0.2,384.64,16189.0
37.0,Volkswagen,ID.4,2019.0,Norteamérica,Sedán,92.7,81.5,507.0,229.7,0.43,983.0,23.57,130899.0,37.5,246.0,5.3,-0.6,Personal,15.71,289.0,2171.0,0.18,462.79,25838.0
38.0,Desconocido,Mustang Mach-E,2016.0,Europa,SUV,53.9,85.2,243.0,119.3,0.64,1424.0,16.02,62043.0,72.2,241.0,4.56,35.5,Personal,7.45,1476.0,889.0,0.34,344.62,17673.0
39.0,Chevrolet,Bolt EV,2019.0,Australia,SUV,85.2,82.5,499.0,218.0,0.55,1342.0,17.35,66813.0,86.7,225.0,9.9,8.8,Comercial,8.02,1505.0,562.0,0.19,183.54,24829.0
40.0,Hyundai,Kona Electric,2015.0,Australia,Desconocido,105.4,84.1,509.0,76.3,1.93,717.0,20.99,196172.0,100.0,231.0,9.44,19.3,Personal,23.54,1788.0,1176.0,0.28,960.79,28422.0
41.0,Audi,e-tron,2020.0,Norteamérica,SUV,52.3,83.5,222.0,239.0,0.26,1669.0,23.42,181615.0,73.3,221.0,5.25,-8.9,Personal,21.79,449.0,1173.0,0.21,744.35,16789.0
42.0,Chevrolet,Bolt EUV,2017.0,Europa,Hatchback,76.8,95.6,391.0,145.1,0.58,600.0,13.74,155830.0,59.4,230.0,7.53,25.2,Personal,18.7,634.0,602.0,0.12,214.11,19708.0
43.0,Volkswagen,ID.3,2016.0,Australia,Camioneta,61.6,87.7,294.0,115.6,0.58,1531.0,19.12,126249.5,84.9,159.0,7.54,33.1,Comercial,23.14,332.0,1296.0,0.12,368.77,17156.0
44.0,Volkswagen,ID.4,2022.0,Europa,SUV,105.8,93.1,437.0,22.0,5.62,1673.0,16.27,172658.0,70.6,204.0,3.99,-3.6,Comercial,20.72,1406.0,1347.0,0.12,280.91,28443.0
45.0,Tesla,Model S,2020.0,Asia,Sedán,92.8,75.4,500.0,109.4,0.92,866.0,20.68,80697.0,72.1,180.0,3.77,-1.6,Personal,9.68,803.0,1181.0,0.13,180.79,27845.0
46.0,Chevrolet,Bolt EV,2019.0,Norteamérica,Sedán,79.4,86.0,374.0,224.7,0.48,1953.0,20.98,28624.0,36.5,176.0,7.58,-5.9,Personal,3.43,549.0,606.0,0.33,165.15,20441.0
47.0,Mercedes,EQC,2015.0,Europa,Desconocido,54.9,94.2,301.0,55.1,1.32,838.0,24.01,144789.0,73.3,216.0,6.705,26.0,Personal,17.37,865.0,1025.0,0.12,347.64,17646.0
48.0,Hyundai,Kona Electric,2017.0,Norteamérica,Hatchback,94.2,96.9,473.0,138.2,0.94,1729.0,16.6,39674.0,47.0,218.0,8.29,-0.9,Flota,4.76,1262.0,2476.0,0.31,170.14,26621.0
49.0,Mercedes,EQS,2020.0,Asia,SUV,59.5,73.6,343.0,152.9,0.45,266.0,20.43,129049.0,36.1,240.0,8.29,17.9,Flota,15.49,1108.5,1247.0,0.11,241.68,22267.0
50.0,Ford,Mustang Mach-E,2023.0,Asia,Hatchback,60.4,97.0,314.0,69.4,0.72,1964.0,24.14,121148.0,37.1,199.0,5.87,14.4,Personal,14.54,1573.0,1342.0,0.1,243.71,23582.0
51.0,Kia,Niro EV,2022.0,Asia,Sedán,110.7,72.4,558.0,109.1,1.07,1446.0,23.66,46427.0,97.9,133.0,3.53,38.8,Personal,5.57,1829.0,1516.0,0.28,256.31,31394.0
Desconocido,Desconocido,EQC,2023.0,Norteamérica,SUV,94.7,86.1,469.0,211.4,0.6,1125.0,16.21,96922.0,44.0,149.0,5.08,-4.3,Flota,11.63,289.0,1153.0,0.16,209.48,27112.0
53.0,BMW,i4,2019.0,Norteamérica,SUV,75.5,98.0,350.0,152.9,0.62,209.0,19.13,145937.0,99.3,142.0,7.95,-5.6,Comercial,17.51,1542.0,2136.0,0.08,186.12,22129.0
54.0,BMW,i4,2023.0,Asia,Sedán,83.6,84.1,403.0,94.4,0.95,1125.0,21.7,47929.0,38.7,249.0,9.94,0.3,Flota,5.75,1770.0,1012.0,0.28,242.68,27263.0
55.0,Kia,EV6,2020.0,Europa,Camioneta,34.3,93.4,193.0,190.4,0.2,1514.0,14.14,155354.0,76.6,191.0,9.4,5.8,Personal,18.64,1265.0,588.0,0.26,475.95,12236.0
56.0,Audi,e-tron,2022.0,Asia,Camioneta,69.5,81.3,342.0,83.0,0.94,1125.0,19.51,72728.0,66.2,248.0,6.96,-6.7,Flota,8.73,303.0,2470.0,0.22,271.96,21125.0
57.0,Ford,Mustang Mach-E,2020.0,Asia,Hatchback,114.6,88.8,535.0,44.3,2.88,1892.0,18.44,30053.0,66.2,165.0,9.99,27.6,Comercial,3.61,1220.0,1496.0,0.29,133.93,27836.0
58.0,Nissan,Ariya,2015.0,Asia,Sedán,33.0,87.1,182.0,220.5,0.19,1005.0,18.97,165558.0,89.3,217.0,7.43,15.1,Personal,19.87,1871.0,1784.0,0.21,549.61,22129.0
59.0,BMW,iX,2018.0,Asia,SUV,95.0,91.6,501.0,176.9,0.64,1506.0,16.49,82834.0,97.1,191.0,7.29,10.0,Flota,9.94,1014.0,845.0,0.34,387.01,26119.0
60.0,Audi,Q4 e-tron,2024.0,Norteamérica,Sedán,82.8,85.2,432.0,15.3,5.89,1683.0,13.33,216951.0,78.8,249.0,3.65,22.6,Desconocido,26.03,1108.5,1103.0,0.18,344.62,28720.0
61.0,BMW,iX,2023.0,Norteamérica,Camioneta,68.2,92.1,400.0,232.2,0.72,1013.0,15.07,237793.0,88.7,183.0,6.705,6.6,Flota,28.54,766.0,870.0,0.24,716.71,24166.0
62.0,BMW,i4,2019.0,Europa,Sedán,64.1,92.3,282.0,199.3,0.38,774.0,17.39,236001.0,94.4,131.0,6.53,14.0,Comercial,28.32,546.0,2052.0,0.24,820.81,19807.0
63.0,Tesla,Model X,2017.0,Europa,SUV,74.2,87.3,226.0,19.1,3.52,484.0,19.55,9757.0,45.4,243.0,7.81,-1.1,Flota,1.17,1307.0,1884.0,0.12,19.07,14302.0
64.0,Ford,F-150 Lightning,2020.0,Desconocido,SUV,107.5,86.1,469.0,82.6,1.67,1189.0,21.75,29442.0,86.0,191.0,6.705,-0.5,Personal,3.53,628.0,2000.0,0.21,112.06,27450.0
65.0,Volkswagen,ID.3,2022.0,Europa,Camioneta,82.9,78.8,449.0,137.1,0.73,1336.0,17.21,43565.0,83.6,133.0,6.705,33.1,Comercial,5.23,1866.0,1299.0,0.15,93.72,27567.0
66.0,Hyundai,Ioniq 5,2017.0,Europa,Sedán,88.0,82.3,356.0,48.3,2.07,1572.0,17.3,115904.0,66.2,217.0,4.77,15.3,Comercial,13.91,527.0,1577.0,0.17,284.06,20917.0
67.0,Chevrolet,Bolt EV,2019.0,Europa,Hatchback,46.1,89.6,206.0,34.8,1.74,1301.0,19.84,118453.0,88.1,197.0,9.64,-2.9,Comercial,14.21,1109.0,1234.0,0.17,344.62,15720.0
68.0,Hyundai,Kona Electric,2016.0,Norteamérica,SUV,74.2,72.6,137.0,17.3,2.42,1771.0,20.36,126249.5,92.5,191.0,7.56,14.4,Comercial,14.86,1222.0,1909.0,0.18,378.28,11429.0
69.0,Kia,EV6,2021.0,Asia,Camioneta,54.1,88.7,260.0,142.9,0.47,1139.0,14.85,245469.0,84.6,210.0,9.15,14.4,Flota,29.46,1950.0,627.0,0.13,394.9,19993.0
70.0,Volkswagen,ID.4,2020.0,Norteamérica,Sedán,32.0,78.1,162.0,162.4,0.26,1981.0,20.39,56693.0,98.9,187.0,9.35,24.6,Comercial,6.8,1004.0,574.0,0.3,288.99,10362.0
71.0,Mercedes,EQS,2019.0,Norteamérica,Sedán,103.4,84.9,427.0,107.9,1.16,787.0,14.68,45809.0,39.8,156.0,9.35,33.7,Flota,5.5,367.0,1109.0,0.24,134.5,28239.0
72.0,Ford,F-150 Lightning,2023.0,Australia,Sedán,74.5,87.2,371.0,107.6,0.78,1781.0,12.61,106371.0,97.1,194.0,6.705,20.2,Comercial,12.76,993.0,528.0,0.19,212.38,22129.0
73.0,Hyundai,Ioniq 5,2022.0,Norteamérica,Hatchback,69.3,97.5,377.0,156.9,0.47,254.0,20.63,9853.0,39.5,185.0,4.9,-8.4,Personal,1.18,1371.0,1990.0,0.24,344.62,23619.0
74.0,Audi,e-tron,2015.0,Asia,Hatchback,74.7,87.9,348.0,195.2,0.53,912.0,16.57,59912.0,64.7,172.0,7.39,13.0,Desconocido,7.19,330.0,2021.0,0.3,248.19,22381.0
75.0,Ford,F-150 Lightning,2017.0,Norteamérica,Camioneta,74.2,87.7,257.0,32.9,1.78,1156.0,22.27,41408.0,61.2,176.0,6.705,37.9,Flota,4.97,1108.5,2299.0,0.25,192.12,16433.0
76.0,Volkswagen,ID.4,2015.0,Australia,Camioneta,89.3,90.8,508.0,70.7,1.54,1878.0,21.01,95600.0,96.1,176.0,3.79,19.4,Flota,11.47,600.0,2442.0,0.23,384.97,20902.0
77.0,Hyundai,Ioniq 5,2020.0,Australia,SUV,112.4,71.0,606.0,82.1,1.47,1721.0,17.48,235876.0,63.2,223.0,3.86,12.8,Flota,28.31,1666.0,1516.0,0.25,858.98,31642.0
78.0,Kia,Niro EV,2022.0,Norteamérica,Camioneta,50.7,73.6,210.0,177.4,0.36,382.0,17.26,177070.0,52.1,242.0,7.0,23.1,Comercial,21.25,1620.0,1221.0,0.22,560.31,17361.0
79.0,Volkswagen,ID.4,2024.0,Australia,Hatchback,108.9,82.5,536.0,247.7,0.63,1364.0,18.7,149991.0,85.9,168.0,3.56,-7.4,Comercial,18.0,676.0,817.0,0.21,445.96,33814.0
80.0,Hyundai,Ioniq 5,2023.0,Europa,Desconocido,82.3,78.2,394.0,32.9,3.19,539.0,21.59,37733.0,30.2,191.0,5.81,4.4,Comercial,4.53,523.0,645.0,0.14,95.04,26682.0
81.0,Mercedes,EQS,2023.0,Norteamérica,SUV,55.0,97.3,224.0,127.0,1.85,1125.0,14.84,48001.0,85.9,230.0,4.08,10.9,Flota,5.76,1663.0,1842.0,0.34,201.83,19542.0
Desconocido,Hyundai,Kona Electric,2016.0,Europa,Sedán,45.0,99.7,200.0,236.3,0.22,1084.0,22.8,170229.0,46.1,227.0,6.0,-8.2,Desconocido,20.43,705.0,758.0,0.3,970.31,13505.0
83.0,Chevrolet,Bolt EV,2019.0,Australia,Hatchback,35.2,99.1,203.0,232.7,0.16,1796.0,15.38,220458.0,83.1,191.0,9.98,34.9,Flota,15.225000000000001,1962.0,1280.0,0.14,395.58,22129.0
84.0,Hyundai,Ioniq 5,2023.0,Australia,Hatchback,83.4,85.2,348.0,220.7,0.49,1187.0,18.2,126249.5,96.9,205.0,3.73,6.5,Personal,2.71,1760.0,1784.0,0.28,95.98,23888.0
85.0,Tesla,Model S,2016.0,Australia,SUV,66.8,81.2,301.0,183.9,0.72,653.0,24.51,145975.0,77.8,198.0,9.94,-6.9,Personal,17.52,1524.0,723.0,0.22,655.94,21560.0
86.0,Audi,Q4 e-tron,2017.0,Norteamérica,SUV,104.2,80.4,558.0,146.2,0.93,1485.0,18.78,24623.0,47.2,188.0,9.14,25.4,Personal,2.95,562.0,1056.0,0.27,104.04,27579.0
87.0,BMW,i4,2024.0,Asia,Hatchback,39.5,85.2,172.0,221.7,0.19,960.0,12.38,52638.0,30.4,161.0,5.68,27.2,Flota,6.32,281.0,855.0,0.23,124.9,20292.0
88.0,Audi,Q4 e-tron,2021.0,Australia,SUV,47.4,72.5,220.0,144.8,0.72,1065.0,20.24,36575.0,87.3,241.0,4.2,28.1,Flota,4.39,785.0,1756.0,0.34,209.75,18368.0
89.0,Chevrolet,Bolt EUV,2019.0,Europa,Camioneta,39.2,98.1,371.0,127.0,1.86,1240.0,22.02,68888.0,70.8,194.0,3.88,-6.3,Flota,8.27,409.0,805.0,0.35,442.43,15809.0
90.0,Hyundai,Ioniq 5,2018.0,Desconocido,Sedán,88.3,87.8,420.0,26.7,3.65,1078.0,18.35,98106.0,47.7,216.0,6.4,3.7,Flota,11.77,1508.0,1015.0,0.2,300.04,23500.0
Desconocido,Hyundai,Ioniq 5,2023.0,Asia,Camioneta,74.2,93.8,240.0,63.8,0.97,1173.0,14.99,213330.0,49.1,210.0,9.76,-8.4,Flota,25.6,1188.0,520.0,0.33,344.62,15600.0
92.0,BMW,i3,2019.0,Europa,Hatchback,87.5,81.9,397.0,246.2,0.44,1133.0,14.99,138052.0,44.0,242.0,7.74,8.4,Flota,16.57,1494.0,1516.0,0.21,362.14,22751.0
93.0,Hyundai,Kona Electric,2022.0,Australia,Hatchback,44.3,76.1,185.0,47.7,1.14,1785.0,18.7,197860.0,39.2,182.0,9.43,38.4,Comercial,23.74,1115.0,2081.0,0.2,721.86,18805.0
94.0,Chevrolet,Bolt EUV,2021.0,Norteamérica,SUV,41.3,90.6,200.0,58.9,0.85,925.0,19.57,54268.0,71.3,201.0,5.52,12.8,Comercial,6.51,271.0,2312.0,0.1,88.5,16450.0
95.0,Mercedes,EQC,2016.0,Australia,Hatchback,73.2,88.0,335.0,177.1,0.45,1125.0,23.8,186002.0,63.6,217.0,4.45,-4.9,Desconocido,22.32,1269.0,2195.0,0.08,295.12,20021.0
96.0,Kia,Niro EV,2020.0,Australia,SUV,85.6,91.1,371.0,127.0,8.23,201.0,18.95,117360.0,54.5,162.0,8.86,7.9,Comercial,14.08,1326.0,693.0,0.34,630.13,23417.0
97.0,Kia,Niro EV,2024.0,Australia,Sedán,92.1,94.0,405.0,51.0,2.49,516.0,21.18,137997.0,71.6,202.0,3.84,17.1,Comercial,16.56,1593.0,1215.0,0.32,779.41,27673.0
98.0,Volkswagen,ID.3,2016.0,Australia,SUV,86.3,93.5,450.0,126.8,0.72,407.0,19.12,164033.0,84.9,132.0,3.76,-1.8,Flota,19.68,213.0,1470.0,0.28,731.81,24135.0
99.0,Tesla,Model Y,2021.0,Norteamérica,Sedán,88.5,84.4,462.0,89.6,1.21,884.0,14.37,115198.0,60.4,161.0,6.74,14.4,Flota,13.82,1113.0,2246.0,0.14,193.13,26211.0
100.0,BMW,i4,2020.0,Europa,Sedán,74.2,89.5,517.0,173.6,0.94,1430.0,15.35,166099.0,42.2,214.0,8.23,27.1,Comercial,19.93,603.0,1516.0,0.17,361.2,32145.0
101.0,Ford,Mustang Mach-E,2018.0,Australia,Camioneta,74.2,86.3,379.0,151.5,0.7,1065.0,18.33,48585.0,71.8,165.0,6.24,3.8,Comercial,5.83,1594.0,685.0,0.33,244.9,21685.0
Desconocido,Kia,Niro EV,2017.0,Asia,Sedán,86.1,88.9,470.0,42.4,2.31,951.0,19.82,147633.0,46.6,207.0,6.83,10.7,Comercial,17.72,1204.0,1052.0,0.15,365.76,20378.0
103.0,Audi,e-tron,2022.0,Asia,SUV,82.1,89.9,344.0,166.9,0.63,227.0,15.36,244614.0,66.2,205.0,4.35,38.5,Flota,29.35,1526.0,786.0,0.14,438.35,22482.0
104.0,Tesla,Model S,2020.0,Europa,SUV,69.8,79.9,341.0,171.0,0.55,332.0,15.23,126249.5,96.4,186.0,4.59,-1.6,Personal,10.14,1344.0,1630.0,0.28,300.39,22049.0
105.0,BMW,i3,2019.0,Europa,Hatchback,78.0,93.5,422.0,117.7,0.72,819.0,19.02,39707.0,66.2,131.0,4.3,1.6,Flota,4.76,481.0,1296.0,0.25,157.34,20537.0
106.0,Mercedes,EQC,2017.0,Australia,Camioneta,70.7,98.0,327.0,132.2,0.75,689.0,17.17,171129.0,97.6,172.0,3.61,6.2,Comercial,20.54,1408.0,1562.0,0.2,489.71,18514.0
107.0,Mercedes,EQC,2016.0,Europa,Camioneta,60.8,86.0,258.0,42.7,1.93,1125.0,21.53,126863.0,97.9,130.0,8.25,-2.2,Personal,15.22,1581.0,1016.0,0.34,773.89,22129.0
108.0,Tesla,Model X,2016.0,Australia,Hatchback,89.5,99.4,424.0,15.2,7.74,1761.0,23.3,233071.0,83.8,220.0,9.55,24.5,Flota,27.97,1000.0,1524.0,0.14,633.56,22129.0
109.0,Nissan,Leaf,2019.0,Norteamérica,Camioneta,90.0,87.3,422.0,49.1,2.15,774.0,24.7,209456.0,99.5,142.0,8.59,18.4,Flota,25.13,688.0,1470.0,0.32,1379.62,26918.0
110.0,Nissan,Leaf,2020.0,Asia,Hatchback,59.4,90.0,333.0,193.2,0.34,1050.0,23.3,8712.0,38.4,183.0,7.72,6.4,Flota,1.05,1288.0,1599.0,0.24,40.6,19415.0
111.0,Nissan,Ariya,2019.0,Norteamérica,Hatchback,64.2,86.5,371.0,141.4,0.56,301.0,12.95,241386.0,41.8,207.0,7.53,13.2,Comercial,28.97,1226.0,584.0,0.31,807.54,17704.0
112.0,Volkswagen,ID.4,2016.0,Australia,SUV,73.1,85.2,342.0,101.9,0.9,1516.0,15.2,51819.0,72.6,177.0,7.07,27.3,Comercial,6.22,563.0,1390.0,0.22,144.4,18562.0
113.0,Audi,Q4 e-tron,2019.0,Australia,Hatchback,47.6,70.2,252.0,225.6,0.28,914.0,16.94,50379.0,95.4,215.0,4.76,-1.7,Comercial,6.05,1163.0,1507.0,0.22,156.46,19508.0
114.0,Mercedes,EQS,2017.0,Desconocido,SUV,82.3,72.7,447.0,106.6,0.82,289.0,13.58,235662.0,77.7,203.0,8.7,-0.8,Personal,28.28,1158.0,1516.0,0.29,773.4,21744.0
115.0,Chevrolet,Bolt EV,2024.0,Australia,Hatchback,112.6,82.7,470.0,206.0,0.69,1908.0,20.23,212738.0,30.2,151.0,8.82,34.2,Comercial,25.53,1249.0,1020.0,0.25,896.6,29255.0
116.0,Chevrolet,Bolt EUV,2022.0,Europa,Hatchback,67.0,95.2,388.0,95.5,0.92,1516.0,15.93,110111.0,87.6,189.0,7.86,30.5,Personal,13.21,1114.0,2199.0,0.12,175.41,21806.0
117.0,Kia,Niro EV,2020.0,Asia,Camioneta,82.8,75.0,453.0,217.2,0.72,861.0,12.31,21014.0,66.2,200.0,7.05,1.6,Flota,2.52,789.0,1600.0,0.24,51.74,21643.0
118.0,Audi,e-tron,2023.0,Norteamérica,SUV,118.9,74.1,640.0,107.6,1.37,1390.0,21.42,60754.0,99.4,189.0,8.82,20.2,Flota,7.29,1325.0,1053.0,0.32,347.03,33109.0
119.0,Chevrolet,Desconocido,2018.0,Australia,Hatchback,37.7,96.8,165.0,127.0,0.56,624.0,20.02,121492.0,66.3,131.0,6.705,-6.5,Comercial,14.58,359.0,648.0,0.15,304.03,11181.0
120.0,Nissan,Ariya,2022.0,Europa,Hatchback,88.6,86.0,411.0,90.6,1.13,926.0,16.92,130541.0,69.0,227.0,6.4,6.7,Flota,15.66,861.0,2335.0,0.1,184.06,25213.0
